Sample_Name	mean_meth	median_meth	mean_cov	median_cov
WT_D14_R1	0.857504234223478	1	13.2528879869711	12
WT_D14_R2	0.852083604893029	0.961538461538461	15.0898734905424	14
WT_D14_R3	0.839858230614567	1	9.26061868958943	8
WT_D6_R1	0.840688982618611	0.9375	11.3399586572341	10
WT_D6_R2	0.834020102357883	0.928571428571429	14.283733194091	13
WT_D6_R3	0.825163312922247	0.9375	9.19899235134958	8
